Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Routes Completed,Doors in Route,The time you started at:,The time you ended at,WARD,Time Spent
Riverbend Stake Centre,Riverbend Stake,2,0,44,70,1,1,285,2023-12-13 10:30:00,2023-12-13 11:45:00,Terwillegar Park Ward,75.0
Gateway Stake Centre,Gateway Stake,2,3,30,60,1,2,23,2023-12-13 10:30:00,2023-12-13 11:45:00,Crawford Plains Ward,75.0
Gateway Stake Centre,Gateway Stake,3,2,30,40,0,1,210,2023-12-13 11:00:00,2023-12-13 11:45:00,Ellerslie Ward,45.0
Bearspaw Chapel,Gateway Stake,2,0,35,60,0,1,148,2023-12-13 03:30:00,2023-12-13 05:30:00,Blackmud Creek Ward,120.0
Riverbend Stake Centre,Riverbend Stake,2,0,44,60,1,2,446,2023-12-13 10:20:00,2023-12-13 11:20:00,Rutherford Ward,60.0
Londonderry Chapel,Bonnie Doon Stake,1,2,35,45,0,1,200,2023-12-13 10:30:00,,Londonderry Ward,54.70873786407767
Coronation Park Chapel,Bonnie Doon Stake,3,1,117,45,1,4,403,2023-12-13 10:15:00,2023-12-13 11:45:00,Coronation Park Ward,90.0
North Stake Centre,Edmonton North Stake,2,0,30,105,1,3,356,2023-12-13 10:00:00,2023-12-13 11:45:00,Griesbach Ward,105.0
Londonderry Chapel,Bonnie Doon Stake,2,2,40,70,1,2,200,2023-12-13 10:30:00,2023-12-13 11:40:00,Clareview Ward,70.0
Londonderry Chapel,Bonnie Doon Stake,2,0,3,30,0,1,0,,,Clareview Ward,54.70873786407767
Gateway Stake Centre,Gateway Stake,2,0,30,55,0,1,174,2023-12-13 10:45:00,2023-12-13 11:40:00,Silver Berry Ward,55.0
Bearspaw Chapel,Gateway Stake,4,3,26,30,0,1,148,2023-12-13 11:10:00,2023-12-13 11:46:00,Lee Ridge Ward,36.0
Riverbend Stake Centre,Riverbend Stake,1,1,24,90,0,1,170,2023-12-13 10:10:00,2023-12-13 11:40:00,Terwillegar Park Ward,90.0
Riverbend Stake Centre,Riverbend Stake,2,0,70,90,1,1,312,2023-12-13 10:00:00,2023-12-13 11:48:00,Terwillegar Park Ward,108.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,3,20,60,0,1,120,2023-12-13 10:45:00,2023-12-13 11:45:00,Forest Heights Ward,60.0
Gateway Stake Centre,Gateway Stake,1,0,26,40,1,2,191,2023-12-13 11:15:00,2023-12-13 11:51:00,Ellerslie Ward,36.0
Gateway Stake Centre,Gateway Stake,2,1,23,32,1,1,195,2023-12-13 11:00:00,2023-12-13 11:32:00,Crawford Plains Ward,32.0
Londonderry Chapel,Bonnie Doon Stake,2,0,15,30,0,1,121,2023-12-13 11:12:00,2023-12-13 11:50:00,Clareview Ward,38.0
Gateway Stake Centre,Gateway Stake,2,3,13,15,0,1,115,2023-12-13 11:15:00,2023-12-13 11:45:00,Crawford Plains Ward,30.0
Gateway Stake Centre,Gateway Stake,1,2,20,50,1,2,260,2023-12-13 10:50:00,2023-12-13 11:40:00,Ellerslie Ward,50.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,1,18,45,0,1,125,2023-12-13 11:10:00,2023-12-13 11:46:00,Forest Heights Ward,36.0
Gateway Stake Centre,Gateway Stake,2,1,36,40,0,1,145,2023-12-13 11:05:00,2023-12-13 11:49:00,Lee Ridge Ward,44.0
Bearspaw Chapel,Bonnie Doon Stake,5,1,6,15,0,1,40,2023-12-13 11:00:00,2023-12-13 12:00:00,Southgate Ward,60.0
Gateway Stake Centre,Gateway Stake,2,2,35,60,0,1,214,2023-12-13 10:30:00,2023-12-13 11:30:00,Ellerslie Ward,60.0
Gateway Stake Centre,Gateway Stake,2,0,6,15,0,1,168,2023-12-13 11:35:00,2023-12-13 11:50:00,Crawford Plains Ward,15.0
North Stake Centre,Edmonton North Stake,3,2,43,60,1,2,40,2023-12-13 10:45:00,2023-12-13 11:45:00,Griesbach Ward,60.0
Riverbend Stake Centre,Riverbend Stake,3,1,19,40,0,1,150,2023-12-13 11:00:00,2023-12-13 11:50:00,Terwillegar Park Ward,50.0
North Stake Centre,Edmonton North Stake,2,1,10,52,0,1,120,2023-12-13 11:00:00,2023-12-13 11:52:00,Griesbach Ward,52.0
Riverbend Stake Centre,Riverbend Stake,2,1,48,44,1,2,208,2023-12-13 10:15:00,2023-12-13 10:59:00,Greenfield Ward,44.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,4,0,42,60,1,2,194,2023-12-13 10:15:00,2023-12-13 11:51:00,Forest Heights Ward,96.0
Riverbend Stake Centre,Riverbend Stake,1,2,40,30,0,1,220,2023-12-13 10:30:00,2023-12-13 11:00:00,Woodbend Ward,30.0
Londonderry Chapel,Bonnie Doon Stake,1,1,30,60,0,1,100,2023-12-13 10:45:00,,Londonderry Ward,54.70873786407767
Coronation Park Chapel,Bonnie Doon Stake,2,1,55,110,1,2,0,2023-12-13 10:15:00,2023-12-13 11:53:00,Coronation Park Ward,98.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,1,40,150,1,2,180,2023-12-13 10:15:00,2023-12-13 11:50:00,Connors Hill Ward,95.0
Riverbend Stake Centre,Riverbend Stake,2,0,50,270,1,1,210,2023-12-13 10:30:00,2023-12-13 11:53:00,Greenfield Ward,83.0
Bearspaw Chapel,Gateway Stake,6,5,48,49,0,1,162,2023-12-13 11:11:00,2023-12-13 11:53:00,Blackmud Creek Ward,42.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,2,17,51,0,1,75,2023-12-13 11:00:00,2023-12-13 11:54:00,Forest Heights Ward,54.0
Riverbend Stake Centre,Riverbend Stake,2,2,65,90,1,2,650,2023-12-13 10:20:00,2023-12-13 11:30:00,Rutherford Ward,70.0
Bearspaw Chapel,Gateway Stake,2,2,15,60,0,1,100,2023-12-13 10:40:00,2023-12-13 11:55:00,Blackmud Creek Ward,75.0
Gateway Stake Centre,Gateway Stake,2,3,31,50,0,1,180,2023-12-13 11:00:00,2023-12-13 11:50:00,Silver Berry Ward,50.0
