Drop Off Location,Stake,# of Adult Volunteers in this route,# of Youth Volunteers in this route,# of Donation Bags Collected/Route,Time to Complete (in minutes) pick up of bags /route,Number of routes completed,# of Doors in Route
Riverbend Stake Centre,Riverbend Stake,1,1,125,150,3,650
North Stake Centre,Edmonton North Stake,2,2,145,150,5,2500
Riverbend Stake Centre,Riverbend Stake,2,2,40,75,1,215
Riverbend Stake Centre,Riverbend Stake,3,3,40,60,2,280
Riverbend Stake Centre,Riverbend Stake,2,0,20,70,1,160
Riverbend Stake Centre,Riverbend Stake,4,0,65,60,1,300
Gateway Stake Centre,Gateway Stake,2,2,52,125,3,324
Bearspaw Chapel,Gateway Stake,2,2,20,120,2,163
Bearspaw Chapel,Gateway Stake,2,2,20,60,1,168
Gateway Stake Centre,Gateway Stake,2,2,37,140,3,321
Riverbend Stake Centre,Riverbend Stake,4,0,56,120,2,200
Riverbend Stake Centre,Riverbend Stake,2,0,35,90,2,240
North Stake Centre,Edmonton North Stake,1,3,22,40,1,172
Gateway Stake Centre,Gateway Stake,2,5,39,45,2,466
Bearspaw Chapel,Gateway Stake,1,0,18,120,2,40
Bearspaw Chapel,Gateway Stake,3,0,22,90,2,158
Bearspaw Chapel,Gateway Stake,2,4,41,25,1,260
Riverbend Stake Centre,Riverbend Stake,1,0,25,80,2,273
Londonderry Chapel,Bonnie Doon Stake,2,0,1,30,1,100
Gateway Stake Centre,Gateway Stake,1,2,10,30,1,205
Bearspaw Chapel,Gateway Stake,2,3,42,30,1,95
Gateway Stake Centre,Gateway Stake,2,5,25,45,1,200
North Stake Centre,Edmonton North Stake,2,0,70,150,3,400
North Stake Centre,Edmonton North Stake,2,0,69,150,3,400
Bearspaw Chapel,Gateway Stake,1,4,19,20,2,109
Bearspaw Chapel,Gateway Stake,1,4,12,20,2,178
North Stake Centre,Edmonton North Stake,2,0,45,170,1,316
North Stake Centre,Edmonton North Stake,1,0,17,15,1,140
North Stake Centre,Edmonton North Stake,1,4,24,40,1,211
Gateway Stake Centre,Gateway Stake,1,3,77,120,2,472
Gateway Stake Centre,Gateway Stake,1,1,14,45,1,150
Gateway Stake Centre,Gateway Stake,2,2,124,165,6,759
Riverbend Stake Centre,Riverbend Stake,2,3,25,45,1,150
Bearspaw Chapel,Gateway Stake,1,2,15,45,2,162
Gateway Stake Centre,Gateway Stake,5,1,33,80,3,397
Gateway Stake Centre,Gateway Stake,2,1,50,135,2,419
Bearspaw Chapel,Gateway Stake,1,2,25,45,1,160
Gateway Stake Centre,Gateway Stake,1,1,12,60,1,92
Gateway Stake Centre,Gateway Stake,2,2,20,60,1,197
Bearspaw Chapel,Gateway Stake,2,1,14,70,1,147
Bearspaw Chapel,Gateway Stake,1,4,13,35,1,177
Bearspaw Chapel,Gateway Stake,3,2,68,112,3,466
Bearspaw Chapel,Bonnie Doon Stake,1,0,17,30,1,13
Bearspaw Chapel,Gateway Stake,2,0,19,45,1,100
Bearspaw Chapel,Gateway Stake,2,2,32,60,1,174
Bearspaw Chapel,Gateway Stake,2,0,16,20,1,67
Gateway Stake Centre,Gateway Stake,1,2,29,45,2,339
Gateway Stake Centre,Gateway Stake,2,2,17,37,2,197
Bearspaw Chapel,Gateway Stake,2,0,20,60,1,123
Bearspaw Chapel,Gateway Stake,2,3,49,60,2,241
Bearspaw Chapel,Gateway Stake,2,0,21,40,1,109
Bearspaw Chapel,Gateway Stake,2,2,25,10,1,190
Bearspaw Chapel,Gateway Stake,3,4,40,35,1,155
